text,label
"Você não pertence a este lugar.",1
"Hoje é um lindo dia para todos!",0
"Todas as pessoas como você são inúteis.",1
"Parabéns pela sua conquista!",0
"Eu te odeio!",1
"Espero que todos estejam bem hoje.",0
"Por que você é tão incompetente?",1
"Bom trabalho em equipe ontem!",0
"Ninguém quer ouvir suas opiniões.",1
"A natureza é incrível, devemos cuidar dela.",0
"Sua presença aqui é desnecessária.",1
"Obrigado por ajudar com o projeto!",0
"Você só causa problemas onde vai.",1
"Que sorte maravilhosa tivemos hoje!",0
"Pessoas como você estragam tudo.",1
"Felicidades pelo casamento!",0
"Nunca mais fale comigo, você é um lixo.",1
"É um privilégio trabalhar com pessoas tão incríveis.",0
"Seus argumentos são patéticos e sem valor.",1
"A vida é cheia de oportunidades incríveis.",0
